date,consumo_MW
2002-01-01,31080.7
2002-01-02,34261.5
2002-01-03,34511.9
2002-01-04,33715.5
2002-01-05,30405.1
2002-01-06,30323.6
2002-01-07,33333.8
2002-01-08,34362.9
2002-01-09,33776.2
2002-01-10,31471.5
2002-01-11,30947.5
2002-01-12,28466.9
2002-01-13,28052.8
2002-01-14,31603.0
2002-01-15,31223.8
2002-01-16,32009.8
2002-01-17,31881.3
2002-01-18,32043.1
2002-01-19,31926.3
2002-01-20,29482.9
2002-01-21,32434.9
2002-01-22,31539.6
2002-01-23,31494.3
2002-01-24,30615.8
2002-01-25,30183.8
2002-01-26,28076.7
2002-01-27,26645.6
2002-01-28,29487.8
2002-01-29,29028.2
2002-01-30,28574.8
2002-01-31,30375.8
2002-02-01,29662.9
2002-02-02,28647.1
2002-02-03,28598.8
2002-02-04,32563.7
2002-02-05,34954.2
2002-02-06,32970.0
2002-02-07,32225.1
2002-02-08,30829.7
2002-02-09,27723.4
2002-02-10,26787.5
2002-02-11,30866.5
2002-02-12,32908.6
2002-02-13,31965.2
2002-02-14,33175.6
2002-02-15,31664.7
2002-02-16,26852.1
2002-02-17,26883.2
2002-02-18,30929.1
2002-02-19,31155.8
2002-02-20,29674.2
2002-02-21,28554.1
2002-02-22,29054.6
2002-02-23,27607.1
2002-02-24,27034.0
2002-02-25,29920.0
2002-02-26,29319.4
2002-02-27,31410.9
2002-02-28,32759.1
2002-03-01,31537.0
2002-03-02,28492.3
2002-03-03,25644.3
2002-03-04,32252.2
2002-03-05,34056.3
2002-03-06,31165.1
2002-03-07,29271.8
2002-03-08,28361.8
2002-03-09,25220.7
2002-03-10,25758.5
2002-03-11,31188.4
2002-03-12,30832.2
2002-03-13,30312.0
2002-03-14,28774.7
2002-03-15,27749.5
2002-03-16,24863.2
2002-03-17,26989.4
2002-03-18,30983.0
2002-03-19,29976.1
2002-03-20,30941.5
2002-03-21,29635.0
2002-03-22,32752.7
2002-03-23,29010.2
2002-03-24,26193.9
2002-03-25,29443.2
2002-03-26,30842.6
2002-03-27,29756.9
2002-03-28,29495.7
2002-03-29,26531.6
2002-03-30,24101.3
2002-03-31,22999.8
2002-04-01,27520.6
2002-04-02,28650.5
2002-04-03,28393.7
2002-04-04,29335.0
2002-04-05,29942.6
2002-04-06,27764.4
2002-04-07,26478.3
2002-04-08,28891.1
2002-04-09,28389.1
2002-04-10,27738.0
2002-04-11,28010.2
2002-04-12,28047.0
2002-04-13,25014.3
2002-04-14,24187.8
2002-04-15,29472.4
2002-04-16,33161.6
2002-04-17,36213.8
2002-04-18,36385.5
2002-04-19,33778.8
2002-04-20,27228.1
2002-04-21,24151.2
2002-04-22,28221.8
2002-04-23,28559.6
2002-04-24,28575.9
2002-04-25,28838.9
2002-04-26,27996.2
2002-04-27,24719.1
2002-04-28,24306.8
2002-04-29,27705.9
2002-04-30,28278.2
2002-05-01,27887.2
2002-05-02,28834.3
2002-05-03,27523.8
2002-05-04,24674.0
2002-05-05,23602.9
2002-05-06,27900.0
2002-05-07,29633.6
2002-05-08,29679.7
2002-05-09,28446.3
2002-05-10,28515.5
2002-05-11,24581.6
2002-05-12,24352.9
2002-05-13,29812.5
2002-05-14,27954.0
2002-05-15,28004.6
2002-05-16,28788.5
2002-05-17,29706.5
2002-05-18,25086.8
2002-05-19,23894.9
2002-05-20,27747.2
2002-05-21,28281.5
2002-05-22,28319.2
2002-05-23,28477.6
2002-05-24,29506.5
2002-05-25,25679.3
2002-05-26,24351.5
2002-05-27,26089.4
2002-05-28,31258.5
2002-05-29,32644.8
2002-05-30,33653.0
2002-05-31,35394.9
2002-06-01,32144.0
2002-06-02,28956.1
2002-06-03,30151.2
2002-06-04,31402.5
2002-06-05,36343.0
2002-06-06,36085.3
2002-06-07,29609.1
2002-06-08,26275.5
2002-06-09,26866.0
2002-06-10,35089.0
2002-06-11,38189.3
2002-06-12,39550.5
2002-06-13,32899.2
2002-06-14,29577.7
2002-06-15,26142.6
2002-06-16,25661.7
2002-06-17,30994.2
2002-06-18,31587.5
2002-06-19,32184.6
2002-06-20,33526.3
2002-06-21,33994.5
2002-06-22,32269.8
2002-06-23,33275.5
2002-06-24,40828.0
2002-06-25,42062.9
2002-06-26,43429.9
2002-06-27,42807.3
2002-06-28,37968.6
2002-06-29,34021.4
2002-06-30,33684.5
2002-07-01,39380.8
2002-07-02,43232.5
2002-07-03,45844.4
2002-07-04,42578.7
2002-07-05,39195.2
2002-07-06,30619.1
2002-07-07,29536.0
2002-07-08,37336.8
2002-07-09,41177.0
2002-07-10,38469.8
2002-07-11,32433.9
2002-07-12,32154.4
2002-07-13,29678.5
2002-07-14,29263.4
2002-07-15,38118.2
2002-07-16,39704.7
2002-07-17,40783.9
2002-07-18,44103.7
2002-07-19,42746.1
2002-07-20,36740.4
2002-07-21,35505.5
2002-07-22,41991.3
2002-07-23,44348.2
2002-07-24,37011.6
2002-07-25,34307.9
2002-07-26,31547.1
2002-07-27,30368.9
2002-07-28,35796.1
2002-07-29,45874.8
2002-07-30,45768.8
2002-07-31,43681.3
2002-08-01,44532.3
2002-08-02,44885.1
2002-08-03,39179.8
2002-08-04,39653.5
2002-08-05,43450.6
2002-08-06,36512.9
2002-08-07,31970.8
2002-08-08,32463.5
2002-08-09,33465.1
2002-08-10,32546.3
2002-08-11,34327.0
2002-08-12,42069.8
2002-08-13,44836.3
2002-08-14,45580.4
2002-08-15,45294.4
2002-08-16,44693.8
2002-08-17,41378.9
2002-08-18,41063.0
2002-08-19,44474.4
2002-08-20,41965.2
2002-08-21,38656.2
2002-08-22,39084.1
2002-08-23,39325.0
2002-08-24,33758.1
2002-08-25,32483.8
2002-08-26,35377.5
2002-08-27,35974.8
2002-08-28,33064.7
2002-08-29,30143.3
2002-08-30,29486.1
2002-08-31,26737.9
2002-09-01,24793.1
2002-09-02,25556.9
2002-09-03,32946.2
2002-09-04,38109.6
2002-09-05,34652.0
2002-09-06,32043.5
2002-09-07,28911.8
2002-09-08,28526.3
2002-09-09,34506.5
2002-09-10,37212.2
2002-09-11,34363.1
2002-09-12,30303.0
2002-09-13,30713.7
2002-09-14,29840.1
2002-09-15,30777.4
2002-09-16,35372.2
2002-09-17,33262.5
2002-09-18,32152.9
2002-09-19,32609.0
2002-09-20,33741.0
2002-09-21,32451.4
2002-09-22,31866.5
2002-09-23,32340.4
2002-09-24,30068.8
2002-09-25,29676.2
2002-09-26,29436.8
2002-09-27,30324.0
2002-09-28,27824.2
2002-09-29,24966.0
2002-09-30,29096.7
2002-10-01,30815.6
2002-10-02,33832.8
2002-10-03,34965.1
2002-10-04,32622.0
2002-10-05,31022.2
2002-10-06,24942.1
2002-10-07,29712.7
2002-10-08,28009.2
2002-10-09,28276.4
2002-10-10,28859.9
2002-10-11,28873.8
2002-10-12,25802.0
2002-10-13,24468.3
2002-10-14,27266.5
2002-10-15,28688.8
2002-10-16,28970.7
2002-10-17,28682.0
2002-10-18,28460.8
2002-10-19,25951.9
2002-10-20,24513.0
2002-10-21,28415.4
2002-10-22,29015.8
2002-10-23,28958.2
2002-10-24,29784.1
2002-10-25,29641.2
2002-10-26,25948.7
2002-10-27,25070.1
2002-10-28,28956.5
2002-10-29,30633.3
2002-10-30,31738.0
2002-10-31,30887.1
2002-11-01,30743.5
2002-11-02,28299.7
2002-11-03,27340.9
2002-11-04,30471.3
2002-11-05,30632.7
2002-11-06,30308.5
2002-11-07,30514.9
2002-11-08,29984.4
2002-11-09,26257.7
2002-11-10,24957.1
2002-11-11,28671.5
2002-11-12,29273.5
2002-11-13,29999.2
2002-11-14,30080.3
2002-11-15,29003.2
2002-11-16,27525.5
2002-11-17,27620.0
2002-11-18,31106.7
2002-11-19,32124.5
2002-11-20,30785.0
2002-11-21,30851.5
2002-11-22,29999.2
2002-11-23,28919.0
2002-11-24,27174.9
2002-11-25,30375.2
2002-11-26,30562.0
2002-11-27,31841.5
2002-11-28,28970.0
2002-11-29,30092.8
2002-11-30,28061.2
2002-12-01,29720.7
2002-12-02,32994.2
2002-12-03,35145.8
2002-12-04,36533.2
2002-12-05,36093.3
2002-12-06,34581.6
2002-12-07,32961.3
2002-12-08,31046.4
2002-12-09,35627.0
2002-12-10,36738.0
2002-12-11,36023.6
2002-12-12,33646.5
2002-12-13,33804.4
2002-12-14,30382.0
2002-12-15,29002.6
2002-12-16,32963.4
2002-12-17,35406.4
2002-12-18,35813.5
2002-12-19,33694.8
2002-12-20,31103.6
2002-12-21,29780.6
2002-12-22,28553.9
2002-12-23,30952.9
2002-12-24,30547.6
2002-12-25,29533.9
2002-12-26,32106.5
2002-12-27,32936.3
2002-12-28,31012.6
2002-12-29,29092.5
2002-12-30,32094.1
2002-12-31,29561.0
2003-01-01,27603.7
2003-01-02,32118.8
2003-01-03,33701.8
2003-01-04,31215.4
2003-01-05,30946.2
2003-01-06,34014.3
2003-01-07,35377.2
2003-01-08,33668.8
2003-01-09,31811.8
2003-01-10,31956.2
2003-01-11,32217.5
2003-01-12,32135.1
2003-01-13,35090.2
2003-01-14,35914.8
2003-01-15,36426.7
2003-01-16,37441.3
2003-01-17,36536.2
2003-01-18,36157.9
2003-01-19,34429.8
2003-01-20,35501.5
2003-01-21,37591.5
2003-01-22,39225.9
2003-01-23,40730.4
2003-01-24,39577.1
2003-01-25,34730.1
2003-01-26,32830.4
2003-01-27,38860.5
2003-01-28,39483.7
2003-01-29,36426.3
2003-01-30,35985.0
2003-01-31,34836.0
2003-02-01,31695.2
2003-02-02,29732.2
2003-02-03,32537.4
2003-02-04,32676.4
2003-02-05,34529.9
2003-02-06,35650.3
2003-02-07,34552.7
2003-02-08,32796.8
2003-02-09,32083.3
2003-02-10,34708.2
2003-02-11,35505.0
2003-02-12,36127.7
2003-02-13,37172.8
2003-02-14,35884.2
2003-02-15,33389.3
2003-02-16,35948.0
2003-02-17,35268.6
2003-02-18,34377.3
2003-02-19,34452.5
2003-02-20,32656.0
2003-02-21,33171.1
2003-02-22,31183.3
2003-02-23,30055.3
2003-02-24,34468.3
2003-02-25,34767.7
2003-02-26,37055.8
2003-02-27,36378.8
2003-02-28,34357.4
2003-03-01,31179.6
2003-03-02,29198.5
2003-03-03,35295.0
2003-03-04,35414.4
2003-03-05,32048.6
2003-03-06,33621.0
2003-03-07,34751.4
2003-03-08,29894.5
2003-03-09,27689.2
2003-03-10,34320.9
2003-03-11,34981.8
2003-03-12,32530.0
2003-03-13,31392.6
2003-03-14,32307.2
2003-03-15,28659.3
2003-03-16,26097.7
2003-03-17,28470.0
2003-03-18,28537.1
2003-03-19,30143.5
2003-03-20,32283.5
2003-03-21,29573.4
2003-03-22,25698.5
2003-03-23,24782.0
2003-03-24,28345.7
2003-03-25,28522.5
2003-03-26,28643.5
2003-03-27,28719.4
2003-03-28,28454.0
2003-03-29,25625.0
2003-03-30,27002.8
2003-03-31,31814.0
2003-04-01,31905.8
2003-04-02,29428.4
2003-04-03,28637.7
2003-04-04,29415.1
2003-04-05,27527.9
2003-04-06,26118.6
2003-04-07,32072.1
2003-04-08,32882.8
2003-04-09,32517.5
2003-04-10,31069.8
2003-04-11,31145.3
2003-04-12,26260.3
2003-04-13,24511.9
2003-04-14,28247.5
2003-04-15,28360.8
2003-04-16,29080.0
2003-04-17,28340.1
2003-04-18,28711.3
2003-04-19,25401.8
2003-04-20,23314.9
2003-04-21,27264.6
2003-04-22,28132.6
2003-04-23,28792.0
2003-04-24,28952.1
2003-04-25,28036.7
2003-04-26,25457.1
2003-04-27,23901.6
2003-04-28,27884.2
2003-04-29,28189.7
2003-04-30,27923.5
2003-05-01,28830.8
2003-05-02,29447.0
2003-05-03,24573.7
2003-05-04,23600.9
2003-05-05,28108.6
2003-05-06,28425.0
2003-05-07,29108.6
2003-05-08,29002.2
2003-05-09,28082.5
2003-05-10,25178.5
2003-05-11,24925.0
2003-05-12,28060.1
2003-05-13,27970.2
2003-05-14,28049.2
2003-05-15,28248.2
2003-05-16,28170.7
2003-05-17,25540.2
2003-05-18,24465.1
2003-05-19,28242.2
2003-05-20,28334.5
2003-05-21,28375.9
2003-05-22,28399.1
2003-05-23,27988.2
2003-05-24,24918.2
2003-05-25,23621.9
2003-05-26,24095.8
2003-05-27,27720.3
2003-05-28,28263.1
2003-05-29,28488.4
2003-05-30,28888.3
2003-05-31,25753.0
2003-06-01,24347.4
2003-06-02,27959.0
2003-06-03,28323.5
2003-06-04,28672.1
2003-06-05,28761.0
2003-06-06,28839.0
2003-06-07,26070.0
2003-06-08,24710.0
2003-06-09,29348.9
2003-06-10,30942.7
2003-06-11,33078.3
2003-06-12,35552.0
2003-06-13,34232.5
2003-06-14,31820.1
2003-06-15,31166.2
2003-06-16,30775.4
2003-06-17,29176.2
2003-06-18,30199.6
2003-06-19,32240.0
2003-06-20,30664.0
2003-06-21,26401.4
2003-06-22,25358.6
2003-06-23,32957.5
2003-06-24,37443.3
2003-06-25,39862.6
2003-06-26,43197.7
2003-06-27,41895.5
2003-06-28,32468.2
2003-06-29,33024.3
2003-06-30,39002.3
2003-07-01,36861.3
2003-07-02,36200.7
2003-07-03,33921.4
2003-07-04,34460.1
2003-07-05,37721.0
2003-07-06,37986.5
2003-07-07,41348.3
2003-07-08,42283.0
2003-07-09,40360.4
2003-07-10,33543.5
2003-07-11,35788.9
2003-07-12,32797.6
